
Using:

java: 8.0.232-open
# JMH version: 1.21
# VM version: JDK 1.8.0_232, OpenJDK 64-Bit Server VM, 25.232-b09
# VM invoker: /home/gardziol/.sdkman/candidates/java/8.0.232-open/jre/bin/java
# VM options: <none>
# Warmup: 3 iterations, 10 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark
# Parameters: (className = dev.jgardo.jackson.model.Primitives, fileName = /primitives/primitives-2.json)

# Run progress: 0,00% complete, ETA 00:02:10
# Fork: 1 of 1
# Warmup Iteration   1: 394,821 ns/op
# Warmup Iteration   2: 365,711 ns/op
# Warmup Iteration   3: 370,511 ns/op
Iteration   1: 366,215 ns/op
Iteration   2: 366,347 ns/op
Iteration   3: 370,073 ns/op
Iteration   4: 376,138 ns/op
Iteration   5: 369,281 ns/op
Iteration   6: 366,502 ns/op
Iteration   7: 370,601 ns/op
Iteration   8: 371,937 ns/op
Iteration   9: 366,227 ns/op
Iteration  10: 377,998 ns/op
Iteration  11: 366,784 ns/op
Iteration  12: 366,028 ns/op
Iteration  13: 366,970 ns/op
Iteration  14: 366,848 ns/op
Iteration  15: 366,802 ns/op
Iteration  16: 368,886 ns/op
Iteration  17: 368,628 ns/op
Iteration  18: 367,242 ns/op
Iteration  19: 369,657 ns/op
Iteration  20: 366,291 ns/op
Iteration  21: 366,583 ns/op
Iteration  22: 380,835 ns/op
Iteration  23: 367,409 ns/op
Iteration  24: 373,318 ns/op
Iteration  25: 373,820 ns/op
Iteration  26: 371,943 ns/op
Iteration  27: 373,698 ns/op
Iteration  28: 367,128 ns/op
Iteration  29: 372,846 ns/op
Iteration  30: 367,810 ns/op
Iteration  31: 368,295 ns/op
Iteration  32: 368,779 ns/op
Iteration  33: 367,682 ns/op
Iteration  34: 374,163 ns/op
Iteration  35: 368,301 ns/op
Iteration  36: 366,520 ns/op
Iteration  37: 368,921 ns/op
Iteration  38: 366,432 ns/op
Iteration  39: 371,000 ns/op
Iteration  40: 369,776 ns/op
Iteration  41: 368,958 ns/op
Iteration  42: 368,010 ns/op
Iteration  43: 367,611 ns/op
Iteration  44: 371,885 ns/op
Iteration  45: 366,766 ns/op
